retroID,year,game_id,inning,batting_home,started_half_inning,strikeout_outs,total_outs_recorded,event_sequence,game_date,home_team_id,away_team_id,pitcher_team_id,opponent_team_id,site
walse101,1910,BOS191005230,3,1,true,3,3,K|K|S8|SB2|K,1910-05-23,BOS,CHA,CHA,BOS,BOS06
woodj108,1910,BOS191005240,7,0,true,3,3,K|K|K,1910-05-24,BOS,CLE,BOS,CLE,BOS06
mitcw101,1910,BOS191005260,8,1,true,3,3,K|K|K,1910-05-26,BOS,CLE,CLE,BOS,BOS06
plane101,1910,BOS191005280,7,1,true,3,3,HR/5|K|K|K,1910-05-28,BOS,PHA,PHA,BOS,BOS06
arelf101,1910,BOS191005301,6,0,true,3,3,K|K|K,1910-05-30,BOS,PHA,BOS,PHA,BOS06
karge101,1910,BOS191005302,1,0,true,3,3,W|K|K|SB2|W|K,1910-05-30,BOS,PHA,BOS,PHA,BOS06
whitd104,1910,BOS191008290,5,1,true,3,3,K|E3/P|W.1-2|SB3|W.1-2|K|S8.3-H(UR);2-H(UR);1-3|S3/F.3-H(UR);1-3#|SB2|W|W.3-H(UR);2-3;1-2|K/C,1910-08-29,BOS,CHA,CHA,BOS,BOS06
walse101,1910,BOS191008310,1,1,true,3,3,S/G|K|S8.1-3;B-2(E8)|K|K,1910-08-31,BOS,CHA,CHA,BOS,BOS06
krauh101,1910,BOS191009080,9,1,true,3,3,K|D7|K|K,1910-09-08,BOS,PHA,PHA,BOS,BOS06
ruckn101,1910,BRO191008051,6,0,true,3,3,K|K|K,1910-08-05,BRO,SLN,BRO,SLN,NYC12
ruckn101,1910,BRO191008172,1,0,true,3,3,K|K|K,1910-08-17,BRO,CHN,BRO,CHN,NYC12
colek101,1910,BRO191008172,7,1,true,3,3,K|K|K,1910-08-17,BRO,CHN,CHN,BRO,NYC12
stace101,1910,BRO191009102,1,1,true,3,3,T8|K|K|K/C,1910-09-10,BRO,PHI,PHI,BRO,NYC12
moore103,1910,BRO191009120,5,1,true,3,3,W|K|K|K,1910-09-12,BRO,PHI,PHI,BRO,NYC12
coveh101,1910,BRO191009160,1,1,true,3,3,K|HP|WP.1-3(E6)|K|K,1910-09-16,BRO,CIN,CIN,BRO,NYC12
moore103,1910,BRO191010030,1,1,true,3,3,K|S7|W.1-2|K/C|W.2-3;1-2|K,1910-10-03,BRO,PHI,PHI,BRO,NYC12
marqr102,1910,BRO191010082,4,1,true,3,3,T7|K|K|W|W+SBH.1-2|SB3|SBH;SB2.3-H(E2)|K,1910-10-08,BRO,NY1,NY1,BRO,NYC12
foxeb101,1910,BSN191007042,9,1,true,3,3,K|S8|K|K,1910-07-04,BSN,PHI,PHI,BSN,BOS05
